Taxon,Total length,No of charsets,atpB_final_alignment.fasta,matK_final_alignment.fasta,ndhF_final_alignment.fasta,rbcL_final_alignment.fasta,
Annonaceae Annona amazonica,1611 bp,1,(No data),(No data),(No data),"1611 (2 'N', 294 indels)",
Annonaceae Annona cornifolia,710 bp,1,(No data),(No data),(No data),710 (26 indels),
Annonaceae Annona emarginata,2769 bp,2,(No data),2234 (1438 indels),(No data),535 (25 indels),
Annonaceae Annona glabra,8095 bp,3,(No data),2234 (1438 indels),"3727 (79 'N', 1694 indels)",2134 (671 indels),
Annonaceae Annona hypoglauca,1663 bp,1,(No data),(No data),(No data),1663 (294 indels),
Annonaceae Annona montana,2772 bp,2,(No data),2237 (1438 indels),(No data),535 (25 indels),
Annonaceae Annona mucosa,8357 bp,2,(No data),6715 (4952 indels),(No data),"1642 (32 'N', 294 indels)",
Annonaceae Annona rugulosa,2789 bp,2,(No data),2096 (1304 indels),(No data),693 (29 indels),
Annonaceae Bocagea longepedunculata,5564 bp,3,(No data),1948 (1244 indels),2721 (1625 indels),895 (202 indels),
Annonaceae Cardiopetalum calophyllum,6950 bp,3,(No data),1948 (1244 indels),"3684 (238 'N', 1682 indels)",1318 (26 indels),
Annonaceae Cymbopetalum brasiliense,7736 bp,3,(No data),"2319 (10 'N', 1488 indels)","3727 (79 'N', 1682 indels)",1690 (298 indels),
Annonaceae Duguetia bahiensis,4356 bp,2,(No data),"2317 (163 'N', 1488 indels)",(No data),2039 (613 indels),
Annonaceae Duguetia calycina,4155 bp,2,(No data),2114 (1305 indels),(No data),2041 (613 indels),
Annonaceae Duguetia echinophora,4358 bp,2,(No data),"2317 (1 'N', 1488 indels)",(No data),2041 (613 indels),
Annonaceae Duguetia marcgraviana,4353 bp,2,(No data),2317 (1488 indels),(No data),2036 (613 indels),
Annonaceae Duguetia moricandiana,4333 bp,2,(No data),2299 (1486 indels),(No data),2034 (613 indels),
Annonaceae Duguetia riedeliana,4349 bp,2,(No data),2315 (1488 indels),(No data),2034 (613 indels),
Annonaceae Ephedranthus comp. OUTSIDE,6626 bp,3,(No data),2319 (1488 indels),3725 (1694 indels),582 (29 indels),
Annonaceae Fusaea longifolia,3863 bp,2,(No data),2091 (1303 indels),(No data),1772 (353 indels),
Annonaceae Guatteria australis,2919 bp,2,(No data),2191 (1434 indels),(No data),728 (29 indels),
Annonaceae Guatteria blepharophylla,4023 bp,2,(No data),2319 (1488 indels),(No data),"1704 (1 'N', 328 indels)",
Annonaceae Guatteria ferruginea,4086 bp,2,(No data),2319 (1488 indels),(No data),"1767 (54 'N', 353 indels)",
Annonaceae Guatteria latifolia,4340 bp,2,(No data),"2319 (1 'N', 1488 indels)",(No data),"2021 (1 'N', 613 indels)",
Annonaceae Guatteria macropus,3997 bp,2,(No data),2319 (1488 indels),(No data),1678 (294 indels),
Annonaceae Guatteria notabilis,4104 bp,2,(No data),2319 (1488 indels),(No data),1785 (357 indels),
Annonaceae Guatteria oligocarpa,3997 bp,2,(No data),2319 (1488 indels),(No data),1678 (294 indels),
Annonaceae Guatteria pogonopus,4065 bp,2,(No data),2319 (1488 indels),(No data),1746 (353 indels),
Annonaceae Guatteria pohliana,3621 bp,2,(No data),2319 (1488 indels),(No data),"1302 (63 'N', 26 indels)",
Annonaceae Guatteria punctata,3945 bp,2,(No data),2309 (1487 indels),(No data),1636 (260 indels),
Annonaceae Guatteria rupestris,3945 bp,2,(No data),2319 (1488 indels),(No data),1626 (294 indels),
Annonaceae Guatteria scandens,4104 bp,2,(No data),"2319 (1 'N', 1488 indels)",(No data),1785 (357 indels),
Annonaceae Guatteria schomburgkiana,4350 bp,2,(No data),2319 (1488 indels),(No data),2031 (614 indels),
Annonaceae Guatteria sellowiana,4350 bp,2,(No data),2319 (1488 indels),(No data),2031 (614 indels),
Annonaceae Guatteria villosissima,4350 bp,2,(No data),2319 (1488 indels),(No data),2031 (614 indels),
Annonaceae Hornschuchia citriodora,2035 bp,1,(No data),(No data),(No data),2035 (613 indels),
Annonaceae Malmea comp. OUTSIDE,8081 bp,3,(No data),2319 (1488 indels),"3725 (3 'N', 1694 indels)",2037 (613 indels),
Annonaceae Oxandra nitida,2136 bp,1,(No data),(No data),(No data),2136 (673 indels),
Annonaceae Porcelia comp. OUTSIDE,1688 bp,1,(No data),(No data),(No data),1688 (304 indels),
Annonaceae Pseudoxandra bahiensis,1764 bp,1,(No data),(No data),(No data),1764 (354 indels),
Annonaceae Trigynaea duckei,2032 bp,1,(No data),(No data),(No data),2032 (613 indels),
Annonaceae Unonopsis guatterioides,544 bp,1,(No data),(No data),(No data),544 (27 indels),
Annonaceae Xylopia aromatica,4746 bp,2,(No data),2319 (1488 indels),"2427 (3 'N', 1395 indels)",(No data),
Annonaceae Xylopia brasiliensis,2940 bp,2,(No data),2212 (1435 indels),(No data),728 (29 indels),
Annonaceae Xylopia frutescens,6557 bp,3,(No data),2319 (1488 indels),"2427 (3 'N', 1395 indels)",1811 (365 indels),
Annonaceae Xylopia langsdorfiana,2879 bp,2,(No data),2151 (1396 indels),(No data),728 (29 indels),
Annonaceae Xylopia nitida,5472 bp,3,(No data),2319 (1488 indels),"2427 (3 'N', 1395 indels)",726 (29 indels),
Apiaceae Cyclospermum leptophyllum,8041 bp,3,(No data),5254 (3535 indels),"1888 (1 'N', 687 indels)",899 (343 indels),
Apiaceae Eryngium ebracteatum,2788 bp,2,(No data),2207 (1444 indels),(No data),581 (29 indels),
Apiaceae Eryngium foetidum,2775 bp,2,(No data),2193 (1443 indels),(No data),582 (29 indels),
Apiaceae Klotzschia brasiliensis,1229 bp,1,(No data),(No data),(No data),1229 (30 indels),
Apiaceae Lilaeopsis comp. OUTSIDE,3608 bp,2,(No data),"3027 (27 'N', 1935 indels)",(No data),581 (29 indels),
Apiaceae Spananthe paniculata,4294 bp,2,(No data),"2253 (54 'N', 1448 indels)",(No data),"2041 (30 'N', 613 indels)",
Apocynaceae Allamanda blanchetii,2805 bp,2,(No data),2223 (1433 indels),(No data),582 (29 indels),
Apocynaceae Allamanda cathartica,2732 bp,2,(No data),2168 (1425 indels),(No data),564 (27 indels),
Apocynaceae Allamanda schottii,5438 bp,2,(No data),3919 (2411 indels),(No data),"1519 (7 'N', 227 indels)",
Apocynaceae Ambelania acida,2817 bp,2,(No data),2091 (1288 indels),(No data),726 (29 indels),
Apocynaceae Araujia sericifera,8089 bp,3,(No data),2298 (1464 indels),4134 (1905 indels),1657 (294 indels),
Apocynaceae Asclepias curassavica,4406 bp,3,1479 (104 indels),1665 (1016 indels),(No data),1262 (26 indels),
Apocynaceae Aspidosperma australe,5438 bp,2,(No data),3919 (2417 indels),(No data),1519 (227 indels),
Apocynaceae Aspidosperma cylindrocarpon,5438 bp,2,(No data),3919 (2426 indels),(No data),"1519 (2 'N', 227 indels)",
Apocynaceae Aspidosperma pyrifolium,2111 bp,1,(No data),2111 (1397 indels),(No data),(No data),
Apocynaceae Aspidosperma spruceanum,3043 bp,2,(No data),2317 (1494 indels),(No data),726 (29 indels),
Apocynaceae Barjonia chlorifolia,3520 bp,1,(No data),3520 (2180 indels),(No data),(No data),
Apocynaceae Barjonia erecta,2403 bp,1,(No data),2403 (1491 indels),(No data),(No data),
Apocynaceae Barjonia laxa,2438 bp,1,(No data),2438 (1493 indels),(No data),(No data),
Apocynaceae Blepharodon ampliflorum,2343 bp,1,(No data),2343 (1480 indels),(No data),(No data),
Apocynaceae Blepharodon bicuspidatum,2404 bp,1,(No data),2404 (1490 indels),(No data),(No data),
Apocynaceae Blepharodon costae,2362 bp,1,(No data),2362 (1484 indels),(No data),(No data),
Apocynaceae Blepharodon lineare,3520 bp,1,(No data),3520 (2180 indels),(No data),(No data),
Apocynaceae Blepharodon manicatum,2398 bp,1,(No data),2398 (1490 indels),(No data),(No data),
Apocynaceae Blepharodon pictum,3422 bp,1,(No data),3422 (2121 indels),(No data),(No data),
Apocynaceae Condylocarpon comp. OUTSIDE,5438 bp,2,(No data),3919 (2408 indels),(No data),1519 (227 indels),
Apocynaceae Couma comp. OUTSIDE,5438 bp,2,(No data),"3919 (1 'N', 2411 indels)",(No data),1519 (227 indels),
Apocynaceae Ditassa auriflora,2411 bp,1,(No data),2411 (1493 indels),(No data),(No data),
Apocynaceae Ditassa banksii,3520 bp,1,(No data),3520 (2180 indels),(No data),(No data),
Apocynaceae Ditassa blanchetii,2379 bp,1,(No data),2379 (1485 indels),(No data),(No data),
Apocynaceae Ditassa burchellii,3519 bp,1,(No data),3519 (2180 indels),(No data),(No data),
Apocynaceae Ditassa capillaris,2400 bp,1,(No data),2400 (1489 indels),(No data),(No data),
Apocynaceae Ditassa conceptionis,2374 bp,1,(No data),2374 (1485 indels),(No data),(No data),
Apocynaceae Ditassa cordeiroana,2339 bp,1,(No data),2339 (1479 indels),(No data),(No data),
Apocynaceae Ditassa crassifolia,2397 bp,1,(No data),2397 (1491 indels),(No data),(No data),
Apocynaceae Ditassa eximia,2321 bp,1,(No data),2321 (1467 indels),(No data),(No data),
Apocynaceae Ditassa fasciculata,2343 bp,1,(No data),2343 (1471 indels),(No data),(No data),
Apocynaceae Ditassa hastata,3366 bp,1,(No data),3366 (2075 indels),(No data),(No data),
Apocynaceae Ditassa hispida,3520 bp,1,(No data),3520 (2180 indels),(No data),(No data),
Apocynaceae Ditassa mucronata,2322 bp,1,(No data),2322 (1467 indels),(No data),(No data),
Apocynaceae Ditassa obcordata,2425 bp,1,(No data),2425 (1494 indels),(No data),(No data),
Apocynaceae Ditassa pohliana,2400 bp,1,(No data),2400 (1494 indels),(No data),(No data),
Apocynaceae Ditassa retusa,3474 bp,1,(No data),"3474 (2 'N', 2178 indels)",(No data),(No data),
Apocynaceae Ditassa rotundifolia,2337 bp,1,(No data),2337 (1471 indels),(No data),(No data),
Apocynaceae Ditassa tomentosa,3510 bp,1,(No data),3510 (2180 indels),(No data),(No data),
Apocynaceae Fischeria stellata,1821 bp,1,(No data),(No data),(No data),"1821 (1 'N', 377 indels)",
Apocynaceae Forsteronia guyanensis,5310 bp,1,(No data),5310 (3549 indels),(No data),(No data),
Apocynaceae Forsteronia refracta,3949 bp,1,(No data),3949 (2404 indels),(No data),(No data),
Apocynaceae Forsteronia velloziana,5655 bp,1,(No data),5655 (3886 indels),(No data),(No data),
Apocynaceae Funastrum clausum,3357 bp,1,(No data),3357 (2072 indels),(No data),(No data),
Apocynaceae Geissospermum laeve,5438 bp,2,(No data),"3919 (2 'N', 2414 indels)",(No data),"1519 (12 'N', 228 indels)",
Apocynaceae Gonolobus comp. OUTSIDE,2774 bp,2,(No data),2193 (1413 indels),(No data),581 (29 indels),
Apocynaceae Hancornia speciosa,5438 bp,2,(No data),3919 (2405 indels),(No data),1519 (227 indels),
Apocynaceae Hemipogon abietoides,2426 bp,1,(No data),2426 (1495 indels),(No data),(No data),
Apocynaceae Hemipogon acerosus,2371 bp,1,(No data),2371 (1489 indels),(No data),(No data),
Apocynaceae Hemipogon carassensis,2398 bp,1,(No data),2398 (1490 indels),(No data),(No data),
